1,11,20,5,32,8,53,7,69,11,9,8
8,9,21,5,28,6,45,6,68,9,4,7
5,8,32,5,41,6,63,6,66,7,15,7
17,6,28,4,42,4,66,4,62,7,19,7
6,5,22,4,39,4,54,4,63,6,24,6
9,5,15,4,16,4,52,4,61,6,13,6
10,5,18,4,21,4,57,4,64,5,21,5
3,4,19,4,61,4,38,4,67,5,22,4
16,4,9,4,37,3,41,4,65,4,26,4
23,4,10,4,24,3,37,3,58,4,7,4
14,3,3,3,18,3,23,3,59,4,8,4
28,3,13,3,29,3,44,3,52,4,16,4
4,3,14,3,26,3,40,3,54,4,17,4
7,3,23,3,40,3,47,3,48,4,5,4
12,3,24,3,45,3,48,3,42,3,2,4
18,3,25,3,46,3,49,2,60,3,3,4
19,2,26,3,43,3,43,2,57,2,10,4
20,2,33,3,44,2,46,2,53,2,11,4
21,2,31,3,49,2,51,2,33,2,12,3
22,2,37,2,54,2,56,2,45,2,6,2
13,2,48,2,57,2,25,2,49,1,25,2
2,2,49,2,59,2,27,2,51,1,20,2
11,2,30,2,33,2,36,2,43,1,23,1
29,2,40,2,31,2,31,2,44,1,18,1
30,1,41,2,36,2,67,2,25,1,1,1
32,1,16,2,13,2,64,2,26,1,NULL,NULL
39,1,17,2,62,2,60,2,31,1,NULL,NULL
41,1,12,2,63,1,61,1,55,1,NULL,NULL
50,1,7,2,9,1,62,1,NULL,NULL,NULL,NULL
24,1,8,1,17,1,65,1,NULL,NULL,NULL,NULL
25,1,11,1,19,1,33,1,NULL,NULL,NULL,NULL
NULL,NULL,2,1,20,1,35,1,NULL,NULL,NULL,NULL
NULL,NULL,42,1,25,1,42,1,NULL,NULL,NULL,NULL
NULL,NULL,43,1,35,1,39,1,NULL,NULL,NULL,NULL
NULL,NULL,45,1,27,1,29,1,NULL,NULL,NULL,NULL
NULL,NULL,46,1,30,1,26,1,NULL,NULL,NULL,NULL
NULL,NULL,36,1,55,1,16,1,NULL,NULL,NULL,NULL
NULL,NULL,51,1,56,1,17,1,NULL,NULL,NULL,NULL
NULL,NULL,55,1,50,1,19,1,NULL,NULL,NULL,NULL
NULL,NULL,38,1,51,1,22,1,NULL,NULL,NULL,NULL
NULL,NULL,39,1,53,1,58,1,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,47,1,59,1,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,55,1,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,50,1,NULL,NULL,NULL,NULL
